"","X","name","city","country","region","members","fullurl","created","past_events","upcoming_events","visibility","last_event"
"12",12,"LA R users group","Santa Monica","USA","US/Canada",2018,"https://www.meetup.com/Los-Angeles-R-Users-Group-Data-Science/","2009-03-21",103,1,"public","2019-09-27"
"13",13,"R Generation","Dublin","Ireland","Europe",802,"https://www.meetup.com/Dublin-R-Generation/","2018-08-05",7,1,"public","2019-07-02"
"14",14,"R User Group Eindhoven","Eindhoven","Netherlands","Europe",47,"https://www.meetup.com/R-User-Group-Eindhoven/","2019-02-28",2,0,"public","2019-07-07"
"15",15,"Las Vegas R User Group","Las Vegas","USA","US/Canada",24,"https://www.meetup.com/Las-Vegas-R-User-Group/","2018-09-28",0,0,"public","1970-01-01"
"16",16,"Colchester R Meetup","Colchester","United Kingdom","Europe",178,"https://www.meetup.com/Colchester-R-Meetup/","2018-04-16",9,1,"public","2019-05-16"
"17",17,"Phoenix R User Group","Phoenix","USA","US/Canada",892,"https://www.meetup.com/Phoenix-R-User-Group/","2016-04-16",18,0,"public","2018-08-24"
"18",18,"Oxford R User Group","Oxford","United Kingdom","Europe",538,"https://www.meetup.com/Oxford-R-User-Group/","2017-08-17",19,1,"public","2019-09-16"
"19",19,"Chico R Users Group","Chico","USA","US/Canada",52,"https://www.meetup.com/Chico-R-Users-Group/","2015-12-07",77,0,"public","2019-08-14"
"20",20,"Cebu R Users Group (CRUG)","Cebu","Philippines","Asia",59,"https://www.meetup.com/Cebu-R-Users-Group-CRUG/","2014-09-17",2,0,"public_limited","2015-03-19"
"22",22,"Orange County R Users Group (OCRUG)","Irvine","USA","US/Canada",557,"https://www.meetup.com/OC-RUG/","2014-12-17",36,3,"public","2019-09-25"
"23",23,"Poznan R Users Group (PAZUR)","Poznan","Poland","Europe",591,"https://www.meetup.com/Poznan-R-User-Group-PAZUR/","2015-11-27",21,0,"public","2019-06-18"
"24",24,"Rhus - useR group","Århus","Denmark","Europe",203,"https://www.meetup.com/Rhus-useR-group/","2015-01-19",2,0,"public","2015-06-30"
"25",25,"Lansing Area R Users Group","East Lansing","USA","US/Canada",218,"https://www.meetup.com/Lansing-Area-R-Users-Group/","2012-01-24",30,0,"public","2019-07-15"
"26",26,"The Chicago R User Group (CRUG)","Chicago","USA","US/Canada",3730,"https://www.meetup.com/Chicago-R-User-Group/","2010-04-05",74,0,"public","2019-08-20"
"27",27,"Milwaukee R Meetup","Milwaukee","USA","US/Canada",291,"https://www.meetup.com/Milwaukee-R-Meetup/","2015-06-05",8,0,"public","2019-05-24"
"28",28,"Data Analytics GDL User Group","Guadalajara","Mexico","Latin America",284,"https://www.meetup.com/Data-Analytics-GDL-User-Group/","2017-04-13",2,0,"public","2017-12-08"
"30",30,"Bengaluru R UseR Group (BRUG)","Bangalore","India","Asia",1428,"https://www.meetup.com/BengaluRu-use-R-gRoup/","2018-08-28",10,0,"public","2019-09-21"
"32",32,"Bhavnagar Data Analysis Meetup","Bhavnagar","India","Asia",27,"https://www.meetup.com/Bhavnagar-Data-Analysis-Meetup/","2014-06-15",0,0,"public","1970-01-01"
"33",33,"PhillyR","Philadelphia","USA","US/Canada",823,"https://www.meetup.com/PhillyR/","2016-04-19",17,0,"public","2019-09-20"
"36",36,"CaRdiff - the Cardiff R User Group","Cardiff","United Kingdom","Europe",648,"https://www.meetup.com/Cardiff-R-User-Group/","2014-12-19",123,1,"public","2019-09-12"
"37",37,"Central Iowa R User Group","Des Moines","USA","US/Canada",634,"https://www.meetup.com/Central-Iowa-R-User-Group/","2015-06-15",186,0,"public","2019-09-28"
"38",38,"St. Petersburg R User Group","St. Petersburg","Russia","Europe",994,"https://www.meetup.com/St-Petersburg-R-User-Group/","2015-03-11",14,1,"public","2019-04-14"
"39",39,"R User Group Nepal","Kathmandu","Nepal","Asia",120,"https://www.meetup.com/rugnepal/","2018-09-16",3,1,"public","2019-09-20"
"40",40,"Cork (Ireland) R-Users Group","Cork","Ireland","Europe",637,"https://www.meetup.com/Cork-Ireland-R-Users-Group/","2015-07-01",48,0,"public","2019-09-19"
"41",41,"Exeter R Users Group (Exeter, Devon, England)","Exeter","United Kingdom","Europe",240,"https://www.meetup.com/Exeter-R-Users-Group-Exeter-Devon-England/","2014-01-14",16,0,"public","2019-09-09"
"42",42,"Nairobi R Users Group","Nairobi","Kenya","Africa",50,"https://www.meetup.com/Nairobi-R-Users-Group/","2017-03-30",0,0,"public","1970-01-01"
"43",43,"Cairo R Users Group","Cairo","Egypt","Africa",2036,"https://www.meetup.com/Cairo-R-Users-Group/","2015-04-30",4,0,"public","2019-06-19"
"44",44,"STWUR - Wroclaw R Users Group Meetup","Wroclaw","Poland","Europe",649,"https://www.meetup.com/Wroclaw-R-Users-Group/","2017-01-17",25,0,"public","2019-06-13"
"45",45,"Detroit useR Group (R Programming Language)","Birmingham","USA","US/Canada",310,"https://www.meetup.com/Detroit-useR-Group-R-Programming-Language/","2013-06-19",6,0,"public","2017-01-08"
"46",46,"Greater Toronto Area (GTA) R User Group","Toronto","Canada","US/Canada",1398,"https://www.meetup.com/Greater-Toronto-Area-GTA-R-Users-Group/","2010-10-07",34,1,"public","2019-09-10"
"47",47,"Adelaide R Users Group","Adelaide","Australia","Australia",273,"https://www.meetup.com/Adelaide-R-Users/","2016-11-07",4,0,"public","2019-09-25"
"48",48,"Budapest Users of R Network","Budapest","Hungary","Europe",1608,"https://www.meetup.com/Budapest-Users-of-R-Network/","2013-08-11",54,0,"public","2019-09-05"
"49",49,"Meetup R Nantes","Nantes","France","Europe",670,"https://www.meetup.com/Meetup-R-Nantes/","2016-06-27",20,3,"public","2019-09-26"
"50",50,"Tampa R Users Group","Tampa","USA","US/Canada",451,"https://www.meetup.com/Tampa-R-Users-Group/","2017-07-28",23,0,"public","2019-09-24"
"51",51,"Berlin R Users Group","Berlin","Germany","Europe",2028,"https://www.meetup.com/Berlin-R-Users-Group/","2015-01-04",43,0,"public","2019-08-29"
"52",52,"Kampala R Users Group","Kampala","Uganda","Africa",721,"https://www.meetup.com/Kampala-R-Users-Group/","2015-04-28",2,0,"public","2018-01-20"
"53",53,"Dar Es Salaam R Users Group","Dar es Salaam","Tanzania","Africa",757,"https://www.meetup.com/DarEs-Salaam-R-users/","2015-04-30",1,0,"public","2017-09-23"
"54",54,"Johannesburg R User Group (R Programming Language)","Johannesburg","South Africa","Africa",784,"https://www.meetup.com/Joburg-R-Users-Group/","2015-05-03",9,0,"public","2018-12-11"
"55",55,"NottinghamR - Nottingham R Users Group","Nottingham","United Kingdom","Europe",371,"https://www.meetup.com/NottinghamR-Nottingham-R-Users-Group/","2016-01-08",7,0,"public_limited","2018-07-25"
